id,zip,lat,log,flag,city,city_slug,state_id,state,state_slug
1,501,40.8133,-73.0476,NULL,Holtsville,holtsville,NY,New York,new-york
2,544,40.8133,-73.0476,NULL,Holtsville,holtsville,NY,New York,new-york
3,601,18.18,-66.7522,NULL,Adjuntas,adjuntas,PR,Puerto Rico,puerto-rico
4,602,18.3607,-67.1752,NULL,Aguada,aguada,PR,Puerto Rico,puerto-rico
5,603,18.4544,-67.122,NULL,Aguadilla,aguadilla,PR,Puerto Rico,puerto-rico
6,604,18.5006,-67.1359,NULL,Aguadilla,aguadilla,PR,Puerto Rico,puerto-rico
7,605,18.4587,-67.1475,NULL,Aguadilla,aguadilla,PR,Puerto Rico,puerto-rico
8,606,18.1672,-66.9383,NULL,Maricao,maricao,PR,Puerto Rico,puerto-rico
9,610,18.2903,-67.1224,NULL,Anasco,anasco,PR,Puerto Rico,puerto-rico
10,611,18.2925,-66.8037,NULL,Angeles,angeles,PR,Puerto Rico,puerto-rico
11,612,18.407,-66.708,NULL,Arecibo,arecibo,PR,Puerto Rico,puerto-rico
12,613,18.4668,-66.7309,NULL,Arecibo,arecibo,PR,Puerto Rico,puerto-rico
13,614,18.4722,-66.7151,NULL,Arecibo,arecibo,PR,Puerto Rico,puerto-rico
14,616,18.4175,-66.6681,NULL,Bajadero,bajadero,PR,Puerto Rico,puerto-rico
15,617,18.4412,-66.5592,NULL,Barceloneta,barceloneta,PR,Puerto Rico,puerto-rico
16,622,17.9917,-67.1525,NULL,Boqueron,boqueron,PR,Puerto Rico,puerto-rico
17,623,18.0835,-67.1542,NULL,Cabo Rojo,cabo-rojo,PR,Puerto Rico,puerto-rico
18,624,18.0646,-66.7182,NULL,Penuelas,penuelas,PR,Puerto Rico,puerto-rico
19,627,18.419,-66.8603,NULL,Camuy,camuy,PR,Puerto Rico,puerto-rico
20,631,18.1856,-66.8333,NULL,Castaner,castaner,PR,Puerto Rico,puerto-rico
21,636,18.1649,-67.0779,NULL,Rosario,rosario,PR,Puerto Rico,puerto-rico
22,637,18.0798,-66.9427,NULL,Sabana Grande,sabana-grande,PR,Puerto Rico,puerto-rico
23,638,18.289,-66.5151,NULL,Ciales,ciales,PR,Puerto Rico,puerto-rico
24,641,18.2641,-66.7138,NULL,Utuado,utuado,PR,Puerto Rico,puerto-rico
25,646,18.434,-66.2833,NULL,Dorado,dorado,PR,Puerto Rico,puerto-rico
26,647,17.9661,-66.9438,NULL,Ensenada,ensenada,PR,Puerto Rico,puerto-rico
27,650,18.3432,-66.586,NULL,Florida,florida,PR,Puerto Rico,puerto-rico
28,652,18.4554,-66.6063,NULL,Garrochales,garrochales,PR,Puerto Rico,puerto-rico
29,653,17.9857,-66.8903,NULL,Guanica,guanica,PR,Puerto Rico,puerto-rico
30,656,18.0528,-66.7918,NULL,Guayanilla,guayanilla,PR,Puerto Rico,puerto-rico
31,659,18.4107,-66.7965,NULL,Hatillo,hatillo,PR,Puerto Rico,puerto-rico
32,660,18.1342,-67.114,NULL,Hormigueros,hormigueros,PR,Puerto Rico,puerto-rico
33,662,18.4621,-67.0144,NULL,Isabela,isabela,PR,Puerto Rico,puerto-rico
34,664,18.2115,-66.5889,NULL,Jayuya,jayuya,PR,Puerto Rico,puerto-rico
35,667,18.0123,-67.0409,NULL,Lajas,lajas,PR,Puerto Rico,puerto-rico
36,669,18.271,-66.8698,NULL,Lares,lares,PR,Puerto Rico,puerto-rico
37,670,18.2378,-66.9887,NULL,Las Marias,las-marias,PR,Puerto Rico,puerto-rico
38,674,18.4212,-66.49,NULL,Manati,manati,PR,Puerto Rico,puerto-rico
39,676,18.3779,-67.0808,NULL,Moca,moca,PR,Puerto Rico,puerto-rico
40,677,18.3357,-67.2317,NULL,Rincon,rincon,PR,Puerto Rico,puerto-rico
41,678,18.4327,-66.9281,NULL,Quebradillas,quebradillas,PR,Puerto Rico,puerto-rico
